=== Setting ===
pop_size: 100
mutation_rate: 0.069
max_generation: 100


Average fitness, Best fitness
0.26505116497631753,0.7096616424347517
0.3108843370533708,0.9435357829879734
0.3544205711608186,1.2213322840972376
0.403718133687143,1.2213322840972376
0.44867908078815744,1.2213322840972376
0.5224802491160117,1.2213322840972376
0.5266309963482826,1.2250598538865745
0.5505579352099843,1.2250598538865745
0.6025553416926808,1.4459943026786075
0.6472464221485944,1.4459943026786075
0.670574616095462,1.4459943026786075
0.6965405718054065,1.487849639833224
0.686609873298268,1.487849639833224
0.6847775809883054,1.487849639833224
0.7351723426292359,1.487849639833224
0.7349623173655092,1.655911213531411
0.703861531147379,1.6921749497951473
0.737569103320468,1.6921749497951473
0.7256954822854547,1.6921749497951473
0.7371155943797041,1.6921749497951473
0.8228665025277074,1.6921749497951473
0.8820532160582409,1.6921749497951473
0.8660219096589055,1.6921749497951473
0.8910287405176471,1.7459835661517982
0.8921732569703416,1.9705291539446468
0.984927191441577,2.154217422847871
1.1156961018573208,2.156112446027424
1.1488575332839734,2.156112446027424
1.1549754521880455,2.2510960499977775
1.117675303699711,2.2510960499977775
1.1861396736823775,2.2510960499977775
1.1812902286568692,2.2510960499977775
1.1231989658619264,2.2510960499977775
1.1797032950067834,2.2510960499977775
1.1511811120952333,2.2510960499977775
1.1802519287021296,2.2510960499977775
1.1267316685494475,2.2510960499977775
1.1823300277280575,2.2510960499977775
1.1506811141136455,2.2510960499977775
1.0455645344900155,2.2510960499977775
0.9987555464014468,2.2510960499977775
1.0291818093241145,2.2510960499977775
1.1893456252680654,2.330462830891366
1.2482219735477968,2.330462830891366
1.241510235431261,2.4040765685926972
1.280739622531464,2.564262770561336
1.2820980232726915,2.564262770561336
1.3246015867578456,2.564262770561336
1.2150617406595583,2.834885290148448
1.1792045336828103,2.834885290148448
1.2648697759740655,2.834885290148448
1.2127346548036835,2.834885290148448
1.2144287109171557,2.834885290148448
1.2022790635791223,2.834885290148448
1.1903046095520486,2.834885290148448
1.170553927154793,2.834885290148448
1.2357557323633523,2.834885290148448
1.1979657871069471,2.834885290148448
1.296281552318948,2.834885290148448
1.2337228394526676,2.834885290148448
1.2085658794808278,2.834885290148448
1.1769400300480333,2.834885290148448
1.3048152249800937,2.834885290148448
1.273280482438738,2.834885290148448
1.2269387097112232,2.834885290148448
1.3800761620976525,2.834885290148448
1.4268248134211392,2.834885290148448
1.4698434913157543,2.834885290148448
1.4177059350434447,2.95424667741711
1.3072548831108177,2.95424667741711
1.2714598475926395,2.95424667741711
1.307975025855184,2.95424667741711
1.287046690611348,2.95424667741711
1.3972502471880313,2.95424667741711
1.3388996336791752,2.95424667741711
1.407567719032578,2.95424667741711
1.3607258393663582,2.95424667741711
1.4335897290160973,2.95424667741711
1.410555816095046,2.95424667741711
1.4286000168640327,2.95424667741711
1.4748252802282042,2.95424667741711
1.3989998610734398,2.95424667741711
1.3596981073935077,2.95424667741711
1.3053825263360912,2.95424667741711
1.289743958299659,2.95424667741711
1.3319660127011894,2.95424667741711
1.2293172605973772,2.95424667741711
1.1816613835342311,2.95424667741711
1.1727876237494363,2.95424667741711
1.2779917310227114,2.95424667741711
1.2594716962720724,2.95424667741711
1.278184549775884,2.95424667741711
1.2482863830233106,2.95424667741711
1.2901628427346394,2.95424667741711
1.3298950132772658,2.95424667741711
1.2932519694284241,2.95424667741711
1.3247808183364378,2.95424667741711
1.2742731231956377,2.95424667741711
1.3308459639662096,2.95424667741711
1.3661063479439144,2.95424667741711
1.2928686106338845,2.95424667741711


Best individual:
44, 191, 158, 197, 81, 212, 34, 268, 52, 98, 188, 241, 66, 204, 259, 150, 236, 44, 155, 13, 97, 80, 161, 260, 28, 148, 70, 236, 143, 120, 7, 132, 18, 98, 281, 276, 291, 7, 261, 130, 169, 288, 85, 123, 52, 106, 20, 259, 254, 39, 39, 149, 120, 153, 132, 279, 144, 205, 8, 219, 217, 79, 146, 26, 102, 143, 168, 265, 18, 252, 191, 89, 235, 100, 60, 217, 196, 169, 179, 260, 250, 213, 137, 170, 131, 213, 276, 111, 298, 146, 205, 40, 237, 157, 72, 257, 278, 182, 29, 94, 149, 189, 233, 151, 259, 187, 260, 275, 74, 240, 291, 1, 242, 93, 129, 244, 84, 9, 121, 264, 119, 137, 92, 19, 76, 76, 167, 221, 218, 40, 36, 99, 35, 273, 27, 75, 27, 273, 192, 243, 165, 218, 32, 93, 91, 37, 271, 220, 283, 163, 282, 251, 108, 207, 216, 257, 252, 91, 219, 117, 18, 100, 64, 179, 208, 190, 61, 118, 43, 124, 286, 58, 53, 279, 116, 140, 290, 294, 182, 56, 75, 241, 168, 174, 174, 80, 109, 88, 87, 191, 72, 239, 64, 33, 29, 101, 181, 61, 42, 96, 202, 252, 148, 42, 198, 83, 21, 212, 23, 258, 258, 75, 224, 286, 130, 124, 136, 136, 30, 79, 199, 239, 285, 196, 162, 153, 266, 27, 214, 299, 224, 89, 77, 39, 97, 167, 270, 65, 109, 280, 37, 187, 49, 111, 245, 270, 212, 171, 171, 247, 299, 158, 34, 265, 293, 126, 50, 101, 61, 253, 258, 110, 12, 93, 199, 54, 269, 291, 281, 111, 6, 105, 276, 187, 285, 225, 114, 212, 282, 281, 188, 193, 266, 107, 82, 92, 93, 220, 246, 246, 48, 17, 154, 198, 188, 177, 74, 238, 45, 

Execution time: 392.7440969944 seconds
